वादळ, समुद्र आणि पर्वत यांच्यातील एका दिवसाची बातचीत होती.

वादळ म्हणाले, "मी किती बदललो आहे! माझी गती वेगवान आहे, माझे वेग वाढला आहे. मी आता जास्त क्षेत्रफळावर पसरला आहे."

समुद्र म्हणाले, "होय, मी देखील बदललो आहे. माझी पातळी वाढली आहे, माझे पाणी जास्त उंच झाले आहे. मी आता जास्त क्षेत्रफळावर पसरला आहे."

पर्वत म्हणाले, "मी देखील बदललो आहे. माझी उंची वाढली आहे, माझे पाय जास्त खोल झाले आहेत. मी आता जास्त क्षेत्रफळावर पसरला आहे."

वादळ म्हणाले, "हे कसे? मी म्हणतो की मी जास्त क्षेत्रफळावर पसरला आहे, तर तुम्ही म्हणता की तुम्ही जास्त क्षेत्रफळावर पसरला आहेत?"

समुद्र म्हणाले, "होय, मी म्हणतो की मी जास्त क्षेत्रफळावर पसरला आहे, कारण माझे पाणी जास्त उंच झाले आहेत. मी आता जास्त भागांना पोहोचत आहे."

पर्वत म्हणाले, "होय, मी म्हणतो की मी जास्त क्षेत्रफळावर पसरला आहे, कारण माझी उंची वाढली आहे. मी आता जास्त भागांना पोहोचत आहे."

वादळ म्हणाले, "हे कसे? तुम्ही दोघे म्हणता की तुम्ही जास्त क्षेत्रफळावर पसरला आहेत, तर मी काय?"

समुद्र म्हणाले, "होय, वादळ, तुम्ही देखील जास्त क्षेत्रफळावर प
